filename,passed_next_stage
cv_0001.txt,0
cv_0002.txt,0
cv_0003.txt,1
cv_0004.txt,0
cv_0005.txt,1
cv_0006.txt,1
cv_0007.txt,0
cv_0008.txt,0
cv_0009.txt,0
cv_0010.txt,0
cv_0011.txt,1
cv_0012.txt,0
cv_0013.txt,1
cv_0014.txt,0
cv_0015.txt,1
cv_0016.txt,0
cv_0017.txt,0
cv_0018.txt,0
cv_0019.txt,0
cv_0020.txt,0
cv_0021.txt,0
cv_0022.txt,0
cv_0023.txt,0
cv_0024.txt,0
cv_0025.txt,0
cv_0026.txt,0
cv_0027.txt,0
cv_0028.txt,0
cv_0029.txt,0
cv_0030.txt,0
cv_0031.txt,1
cv_0032.txt,0
cv_0033.txt,1
cv_0034.txt,1
cv_0035.txt,0
cv_0036.txt,0
cv_0037.txt,0
cv_0038.txt,0
cv_0039.txt,1
cv_0040.txt,0
cv_0041.txt,0
cv_0042.txt,0
cv_0043.txt,1
cv_0044.txt,1
cv_0045.txt,0
cv_0046.txt,0
cv_0047.txt,1
cv_0048.txt,0
cv_0049.txt,0
cv_0050.txt,0
cv_0051.txt,0
cv_0052.txt,0
cv_0053.txt,0
cv_0054.txt,1
cv_0055.txt,0
cv_0056.txt,0
cv_0057.txt,0
cv_0058.txt,0
cv_0059.txt,1
cv_0060.txt,0
cv_0061.txt,0
cv_0062.txt,1
cv_0063.txt,0
cv_0064.txt,0
cv_0065.txt,0
cv_0066.txt,0
cv_0067.txt,0
cv_0068.txt,0
cv_0069.txt,0
cv_0070.txt,0
cv_0071.txt,0
cv_0072.txt,0
cv_0073.txt,0
cv_0074.txt,0
cv_0075.txt,0
cv_0076.txt,1
cv_0077.txt,1
cv_0078.txt,0
cv_0079.txt,0
cv_0080.txt,0
cv_0081.txt,0
cv_0082.txt,1
cv_0083.txt,0
cv_0084.txt,1
cv_0085.txt,0
cv_0086.txt,0
cv_0087.txt,0
cv_0088.txt,1
cv_0089.txt,0
cv_0090.txt,0
cv_0091.txt,0
cv_0092.txt,1
cv_0093.txt,0
cv_0094.txt,1
cv_0095.txt,0
cv_0096.txt,1
cv_0097.txt,0
cv_0098.txt,1
cv_0099.txt,1
cv_0100.txt,0
cv_0101.txt,0
cv_0102.txt,1
cv_0103.txt,1
cv_0104.txt,0
cv_0105.txt,0
cv_0106.txt,0
cv_0107.txt,0
cv_0108.txt,0
cv_0109.txt,0
cv_0110.txt,0
cv_0111.txt,1
cv_0112.txt,1
cv_0113.txt,0
cv_0114.txt,0
cv_0115.txt,0
cv_0116.txt,0
cv_0117.txt,0
cv_0118.txt,1
cv_0119.txt,0
cv_0120.txt,0
cv_0121.txt,0
cv_0122.txt,0
cv_0123.txt,0
cv_0124.txt,1
cv_0125.txt,1
cv_0126.txt,0
cv_0127.txt,0
cv_0128.txt,1
cv_0129.txt,0
cv_0130.txt,1
cv_0131.txt,0
cv_0132.txt,1
cv_0133.txt,0
cv_0134.txt,1
cv_0135.txt,0
cv_0136.txt,1
cv_0137.txt,0
cv_0138.txt,1
cv_0139.txt,0
cv_0140.txt,1
cv_0141.txt,0
cv_0142.txt,0
cv_0143.txt,0
cv_0144.txt,0
cv_0145.txt,1
cv_0146.txt,0
cv_0147.txt,0
cv_0148.txt,1
cv_0149.txt,0
cv_0150.txt,0
cv_0151.txt,0
cv_0152.txt,0
cv_0153.txt,0
cv_0154.txt,1
cv_0155.txt,0
cv_0156.txt,0
cv_0157.txt,0
cv_0158.txt,0
cv_0159.txt,1
cv_0160.txt,0
cv_0161.txt,0
cv_0162.txt,0
cv_0163.txt,0
cv_0164.txt,0
cv_0165.txt,0
cv_0166.txt,0
cv_0167.txt,0
cv_0168.txt,0
cv_0169.txt,0
cv_0170.txt,0
cv_0171.txt,0
cv_0172.txt,0
cv_0173.txt,0
cv_0174.txt,0
cv_0175.txt,0
cv_0176.txt,1
cv_0177.txt,0
cv_0178.txt,0
cv_0179.txt,0
cv_0180.txt,1
cv_0181.txt,0
cv_0182.txt,0
cv_0183.txt,0
cv_0184.txt,0
cv_0185.txt,0
cv_0186.txt,0
cv_0187.txt,0
cv_0188.txt,0
cv_0189.txt,0
cv_0190.txt,1
cv_0191.txt,1
cv_0192.txt,0
cv_0193.txt,1
cv_0194.txt,0
cv_0195.txt,1
cv_0196.txt,1
cv_0197.txt,0
cv_0198.txt,0
cv_0199.txt,0
cv_0200.txt,0
cv_0201.txt,0
cv_0202.txt,1
cv_0203.txt,1
cv_0204.txt,0
cv_0205.txt,0
cv_0206.txt,0
cv_0207.txt,0
cv_0208.txt,0
cv_0209.txt,0
cv_0210.txt,0
cv_0211.txt,0
cv_0212.txt,0
cv_0213.txt,0
cv_0214.txt,1
cv_0215.txt,0
cv_0216.txt,0
cv_0217.txt,0
cv_0218.txt,0
cv_0219.txt,0
cv_0220.txt,0
cv_0221.txt,0
cv_0222.txt,1
cv_0223.txt,0
cv_0224.txt,0
cv_0225.txt,1
cv_0226.txt,0
